month,releases,outlier
2018-01-01,36877,0
2018-02-01,36415,0
2018-03-01,43124,0
2018-04-01,45792,0
2018-05-01,42535,0
2018-06-01,46522,0
2018-07-01,46949,0
2018-08-01,49438,0
2018-09-01,46310,0
2018-10-01,54585,0
2018-11-01,53432,0
2018-12-01,48501,0
2019-01-01,57788,0
2019-02-01,56838,0
2019-03-01,62683,0
2019-04-01,66437,0
2019-05-01,66416,0
2019-06-01,61662,0
2019-07-01,72752,0
2019-08-01,71660,0
2019-09-01,71899,0
2019-10-01,78498,0
2019-11-01,84346,0
2019-12-01,80833,0
2020-01-01,88714,0
2020-02-01,89748,0
2020-03-01,105380,0
2020-04-01,117246,0
2020-05-01,122616,0
2020-06-01,130217,0
2020-07-01,143727,1
2020-08-01,127424,0
2020-09-01,134082,0
2020-10-01,140453,0
2020-11-01,134685,0
2020-12-01,142970,0
2021-01-01,148300,0
2021-02-01,156819,1
2021-03-01,190841,1
2021-04-01,165025,0
2021-05-01,170268,0
2021-06-01,157846,0
2021-07-01,155799,0
2021-08-01,158727,0
2021-09-01,158261,0
2021-10-01,170932,0
2021-11-01,168956,0
2021-12-01,164534,0
2022-01-01,175265,0
2022-02-01,165837,0
2022-03-01,192095,0
2022-04-01,180602,0
2022-05-01,188733,0
2022-06-01,184606,0
2022-07-01,184476,0
2022-08-01,204545,1
2022-09-01,191943,0
2022-10-01,202974,0
2022-11-01,211170,0
2022-12-01,194316,0
2023-01-01,227349,0
2023-02-01,249532,1
2023-03-01,265265,0
2023-04-01,240612,0
2023-05-01,248328,0
2023-06-01,242750,0
2023-07-01,248381,0
2023-08-01,269722,0
2023-09-01,264275,0
2023-10-01,291030,0
2023-11-01,276878,0
2023-12-01,251570,0
2024-01-01,268878,0
2024-02-01,275060,0
2024-03-01,295714,0
2024-04-01,278106,0
2024-05-01,280792,0
2024-06-01,278977,0
2024-07-01,282373,0
2024-08-01,286399,0
2024-09-01,274765,0
2024-10-01,331240,0
2024-11-01,306096,0
2024-12-01,284253,0
2025-01-01,318534,0
2025-02-01,314769,0
2025-03-01,366994,0
2025-04-01,354334,0
2025-05-01,364756,0
2025-06-01,360433,0
2025-07-01,368862,0
2025-08-01,352075,0
2025-09-01,378336,0
2025-10-01,395090,0
2025-11-01,387431,0
2025-12-01,386935,0
2026-01-01,443871,0
2026-02-01,500102,0
2026-03-01,647395,0
2026-04-01,639282,0
